,Hotel,Link_hotel
0,Rosewood Castiglion del Bosco,https://www.rosewoodhotels.com/en/castiglion-del-bosco
1,Grace Hotel,https://aubergeresorts.com/gracehotel/?utm_source=gmb&utm_medium=Yext
2,Waldorf Astoria Maldives Ithaafushi,https://www.hilton.com/en/hotels/mleonwa-waldorf-astoria-maldives-ithaafushi/?SEO_id=GMB-APAC-WA-MLEONWA
3,Pickering House Inn,http://www.pickeringhousewolfeboro.com/
4,One&Only Reethi Rah,https://www.oneandonlyresorts.com/reethi-rah?utm_source=GMBlisting&utm_medium=organic&utm_campaign=oorr-reethi-rah-gmb
5,Royal Mansour Marrakech,https://www.royalmansour.com/
6,Capella Ubud,https://capellahotels.com/en/capella-ubud
7,The Lowell,https://www.lowellhotel.com/?utm_source=mybusiness&utm_medium=organic
8,Hôtel Madame Rêve,https://madamereve.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp
9,Rosewood Villa Magna,https://www.rosewoodhotels.com/en/villa-magna
10,The Oberoi New Delhi,https://www.oberoihotels.com/hotels-in-delhi/?utm_source=GMBlisting&utm_medium=organic
11,The Oberoi Udaivilas,https://www.oberoihotels.com/hotels-in-udaipur-udaivilas-resort/?utm_source=GMBlisting&utm_medium=organic
12,"Mandapa, a Ritz-Carlton Reserve",https://www.ritzcarlton.com/en/hotels/indonesia/mandapa?scid=f2ae0541-1279-4f24-b197-a979c79310b0
13,Wilderness Safaris Bisate Lodge,https://www.wildernessdestinations.com/africa/rwanda/volcanoes-national-park/bisate-lodge
14,Portrait Firenze,https://www.lungarnocollection.com/portrait-firenze
15,Raffles Istanbul,https://www.raffles.com/istanbul/?goto=fiche_hotel&code_hotel=A5E2&merchantid=seo-maps-TR-A5E2&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&y_source=1_MTIzNjEzODMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
16,The Oberoi Marrakech,http://www.oberoihotels.com/hotels-in-morocco-marrakech/?utm_source=GMBlisting&utm_medium=organic
17,Capella Hanoi,https://capellahotels.com/en/capella-hanoi
18,White Elephant Palm Beach,https://www.whiteelephantpalmbeach.com/?utm_source=google%20my%20business&utm_medium=listing&utm_campaign=visit%20website
19,The Loutrel,https://www.theloutrel.com/?utm_medium=organic&utm_source=google&utm_campaign=business-listing
20,Monasterio,https://www.belmond.com/hotels/south-america/peru/cusco/belmond-hotel-monasterio/?utm_source=local_search&utm_medium=link&utm_campaign=google_business
21,Sani Asterias,https://sani-resort.com/our-hotels/sani-asterias
22,Shangri-La the Shard,https://www.shangri-la.com/en/london/shangrila/
23,Coquillade Provence Resort & Spa,https://coquillade.fr/
24,Taj Palace,https://www.centraldereservas.com/hoteles/india/delhi/nueva-delhi/hotel-taj-palace
25,Pendry Chicago,https://www.pendry.com/chicago/
26,Nayara Tented Camp,http://www.nayaratentedcamp.com/
27,Hotel Belmar,http://www.hotelbelmar.net/
28,Royal Champagne Hôtel & Spa,https://www.royalchampagne.com/
29,Under Canvas Mount Rushmore,https://www.undercanvas.com/camps/mount-rushmore/
30,Riggs Washington D.C.,https://www.riggsdc.com/?utm_source=google&utm_medium=local&utm_campaign=hotel-riggs
31,Waldorf Astoria Los Cabos Pedregal,https://www.waldorfastorialoscabospedregal.com/?SEO_id=GMB-AMER-WA-SJDWAWA&y_source=1_MTQxMzU3NDYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
32,The Oberoi Vanyavilas Wildlife Resort,https://www.oberoihotels.com/hotels-in-ranthambhore-vanyavilas-resort/?utm_source=GMBlisting&utm_medium=organic
33,Canaves Oia Epitome ,https://canaves.com/canaves-oia-epitome/
34,The Standard ,https://www.standardhotels.com/
35,The Oberoi Amarvilas,https://www.oberoihotels.com/hotels-in-agra-amarvilas-resort/?utm_source=GMBlisting&utm_medium=organic
36,Hotel Santa Caterina,http://www.hotelsantacaterina.it/
37,Raffles Grand Hotel d'Angkor,https://www.rafflessiemreap.com/
38,Nihi Sumba,https://nihi.com/
39,La Réserve Paris,http://www.lareserve-paris.com/en/?utm_source=google&utm_medium=local&utm_campaign=la-reserve-paris
40,Hotel de la Ville,https://www.roccofortehotels.com/it/hotels-and-resorts/hotel-de-la-ville/
41,Il San Pietro di Positano,https://www.ilsanpietro.com/
42,Six Senses Yao Noi,https://www.sixsenses.com/en/resorts/yao-noi
43,Finca Cortesin Hotel Golf & Spa,http://www.fincacortesin.com/
44,Secret Bay,http://secretbay.dm/
45,Cape Grace,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=C014&merchantid=seo-maps-ZA-C014&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&y_source=1_MzYzMzk0NTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
46,Taj Lake Palace,https://www.tajhotels.com/en-in/taj/taj-lake-palace-udaipur/?utm_medium=Local&utm_source=Google&utm_campaign=Taj-Lake-Palace-Udaipur
