,Hotel,Link_hotel
0,Rosewood Castiglion del Bosco,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=1147343&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256043619&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkYY2ZYh1BlrdpZMHEZi4iLbRBiG3hb1mHEn1Ug-uj5xA5jb6O0GpXy2sGeLW5R2xgw&adults=2&child_rm_ages=&inDay=21&outDay=22&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=2&cs=154e3746600810ff85aee26ddb56494bf&ba_uid=ac8c9438-9878-4855-8680-e5d73d0c4f3e
1,Grace Hotel,http://www.pickeringhousewolfeboro.com/
2,Waldorf Astoria Maldives Ithaafushi,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=15618284&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256043727&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkYeaWtkx0sZ7mNKigsNWMdy77KvA3FU06Wq_GM1-CstTBYCKyEKQlXZe67uI2rWFZg&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=1&cs=1a771cac739bb4c05ef70251bf2660ee4&ba_uid=24eb7089-38b1-417c-bbdb-7eeb77c4eb0a
3,Pickering House Inn,https://madamereve.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp
4,One&Only Reethi Rah,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=563828&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256043835&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkaTleyty1qIGoxSRuQOs7KhbpKdAcSSeZ1gnDJJiujNZz3fdayQhZpaM2xNLPfHJLg&adults=2&child_rm_ages=&inDay=26&outDay=27&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=2&cs=1e4f09dbe598a8c67cf2a418d3eaeb966&ba_uid=1dcfd5bf-3440-4d34-bc9a-e8867cb36c6a
5,Royal Mansour Marrakech,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=1676197&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256043881&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkUv4jtQvKxAacevIdl04rPV3gyzPJUG-OUcz_S67bBkOynM0yyMTEzlmzTRa2EwfMg&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=2&cs=1a4d612b4cc9e1a8ab60cfb44b067a666&ba_uid=9e8d09ba-65de-449e-bd03-11cdeda394eb
6,Capella Ubud,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=14821344&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256043926&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkW6IDlOeGJIV02F-HcRdfYgxrSEM3NJJrOg6dUNYJODRKDIqz2iM5rVcjfUkIsuyew&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=2&cs=15bfb59031a94fe9fc5dd95512809d280&ba_uid=598aa16b-72fa-4847-be27-12a848b37fb8
7,The Lowell,https://www.raffles.com/istanbul/?goto=fiche_hotel&code_hotel=A5E2&merchantid=seo-maps-TR-A5E2&sourceid=aw-cen&utm_medium=seo+maps&utm_source=google+Maps&utm_campaign=seo+maps&y_source=1_MTIzNjEzODMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
8,Hôtel Madame Rêve,
9,Rosewood Villa Magna,https://www.whiteelephantpalmbeach.com/?utm_source=google%20my%20business&utm_medium=listing&utm_campaign=visit%20website
10,The Oberoi New Delhi,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=304216&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256044143&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkS116MNbyk_BzkvrNBZddyHd0sDmZGG7p0ZWu0RksFGZZ4DoZIPH8zvx58FnF9XyZA&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=2&cs=1659fc5ec5523a4431ccb45edec2022a1&ba_uid=7ea0a91e-e356-4ee0-9886-79e43c028c09
11,The Oberoi Udaivilas,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=302891&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256044191&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkUGL77anJfJ4UWRPzk9NMVZb36qMXo32DM-K1WChTE32Md1-DZrJK6go3eqEeIFwXA&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=2&cs=1b277a0e486788af45a65ceb56e853220&ba_uid=87d67669-68fb-4120-9d00-a6e21262b56b
12,"Mandapa, a Ritz-Carlton Reserve",https://www.tripadvisor.com/Commerce?p=Marriott_BA&src=183962766&geo=8293999&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=38059&bucket=934872&nrank=1&crank=1&clt=CLD&ttype=ContactLinkDesktop&tm=256044237&managed=false&capped=false&gosox=g3xMt9YCHBy3ZUg-YypssegjQviHlJQg6b-lnBPg98x_z9Z0XP9pjcZi3RyRnEOZi-haCdyGYUMZ97mKUVoCy2HyQPZw7opLUO19dOJy4Ec&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&dated=true&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=1&cs=14a1fad5543e39ebb5dc85c59687fae69&ba_uid=2974811d-c924-4c92-aced-f9979e9c4fad
13,Wilderness Safaris Bisate Lodge,https://www.royalchampagne.com/
14,Portrait Firenze,
15,Raffles Istanbul,
16,The Oberoi Marrakech,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=19141477&from=Hotel_Review&area=&slot=2&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256044463&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkYeaWtkx0sZ7mNKigsNWMdzlxWZP1yw8r7bG6umkO9_SoP29ZtKvaju9ssNwPNAd2g&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=2&cs=1818f92d2103b6225dc8577fbe68bc685&ba_uid=bcebd5b2-8aef-4691-a09e-c6677af1535f
17,Capella Hanoi,http://www.lareserve-paris.com/en/?utm_source=google&utm_medium=local&utm_campaign=la-reserve-paris
18,White Elephant Palm Beach,
19,The Loutrel,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=23453760&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256044626&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkYeaWtkx0sZ7mNKigsNWMdwAKgE0auaiQto_EirTAsrvawd6ikocEeB9H4bIJQJz9Q&adults=2&child_rm_ages=&inDay=23&outDay=24&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=1&cs=19772e52fcb202c03db970cd2ac900137&ba_uid=c03ce165-af89-43cc-b7e7-75b21bd6e1f7
20,Monasterio,http://secretbay.dm/
21,Sani Asterias,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=499888&from=Hotel_Review&area=&slot=3&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256044732&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIkRLr-UdsRQGaQhSqX_Smp6KFlCOSQI2qxKtXhNgTfb4D6RGKac5oNrg5EIhia_iUXg&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=3&cs=16375425088d7a02da4ea643da2329eb3&ba_uid=2606b5f5-d511-42ea-ab06-d5aec7c47a5d
22,Shangri-La the Shard,https://www.tripadvisor.com/Commerce?p=TABAIndependentHotels&src=0&geo=6484754&from=Hotel_Review&area=&slot=1&matchID=1&oos=0&cnt=1&silo=30356&bucket=875171&ubucket=875171&nrank=1&crank=1&clt=CLD&tm=256044780&managed=false&capped=false&gosox=5_3Y6UYwwGjgw_c7hEwIke6fo24j-Tev8ZTzmZIYdF0Zn6VsOL26dY85oksCf17dN6I0u-rR1Gx5BC68aGHDTA&adults=2&child_rm_ages=&inDay=19&outDay=20&rooms=1&inMonth=2&inYear=2023&outMonth=2&outYear=2023&def_d=true&bapid=1&cs=110c4a3eaeb2bd964f192ed632ac33392&ba_uid=5168a056-9ee4-42fc-be77-fdae44e06abd
